Db Smoke Shop,(718) 857-9559,65 5th Ave
Grand Smoke Shop Brooklyn,(718) 388-5610,176 Grand St
Finest Deli & Smoke Shop,(718) 243-2905,719 Fulton St
Noise NYC,(347) 640-5077,287 Smith St
Empire Tobacco Shop,(718) 230-3130,521 Myrtle Ave
Eddy’s Smoke shope,not listed,792 Utica Ave
Utica Bodega Smoke Shop,(929) 343-5922,793 Utica Ave
E & B Tobacco & Grocery,not listed,NYC
Ht Smoke Shop,not listed,746 Utica Ave
Smoker depot 1,(718) 813-4007,1851 Nostrand Ave.
Farragut Smoke Shop,not listed,NYC
Fly High Exotics,(347) 425-4355,5014 Church Ave
JORDAN CANDY AND SMOKE SHOP,(347) 317-0524,1435 St Johns Pl
Smoke shop,not listed,3211 Church Ave
O’s zone smoke shop,not listed,194 Utica Ave
Gimmy Deli & Smoke Shop,(929) 210-0784,299 Winthrop St
The Green smoke Shop,not listed,1938 Nostrand Ave.
Smoke Shop & Grocery,not listed,9716 Church Ave
Tobacco King,not listed,NYC
Flatbush Smoke n Vape Shop,(347) 240-3091,1308 Flatbush Ave
Far High Smoke Shop,(347) 221-0381,1730 Nostrand Ave.
Amy Smoke Shop,not listed,1563 Flatbush Ave
Flatbush smoke shop,(347) 384-1796,836 Flatbush Ave
All In One Smoke Shop,not listed,2815 Glenwood Rd
18th ave smoke shop,(718) 676-1213,6420 18th Ave
Smokestax Inc,(718) 259-0736,6607 18th Ave
Smoke Bar Inc. Cbd Dispensary,(347) 366-8908,2184 63rd St
High Rollers Smoke Vape & Convenience,(718) 998-7445,370 Avenue P
Deli smoke shop,(347) 462-4758,105 Avenue O
18th Ave Smoke Shop Discount,(718) 621-2023,8120 18th Ave
D.Novelty Smoke Shop,(646) 944-1726,6205 20th Ave
Smoke shop,(718) 946-6493,8520 20th Ave
Smoke shop ave i,(718) 233-8482,109 Avenue I
organic smoke shop,(347) 578-7615,7005 13th Ave
86 smokeshop corp 1,not listed,2180 86th St
Exotic Smoke Shop & Convenience,not listed,2472 86th St
Deli and grill, Coffee & Smoke shop,(347) 240-3616
H&S Deli & Smoke Shop,not listed,NYC
Smoke Shop,(347) 789-4026,301 Kings Hwy
Bay 50th Smoke Shop,not listed,2847 Cropsey Ave
86th Street Smoke Shop,not listed,1981 86th St
king city smoke shop,(347) 312-6229,391 Kings Hwy
Candy & smoke shop inc,(347) 312-7136,2108 Avenue U
Smoke Shop & Vape,(718) 975-1103,33 Newkirk Plaza
SRR Smoke Shop,not listed,315 Kings Hwy
BQ convenience & smoke shop,(347) 365-8645,1508 Newkirk Ave
Cigar Emporium,(718) 714-9289,1953 86th St
Smoke shop,(616) 333-3604,36 Avenue O
variety Smoke shop,(347) 813-0857,2930 Avenue R
Vape Shop Nic Drops,(718) 697-7665,517 Park Ave
Happy Smoke Shop,(718) 483-8405,820 Myrtle Ave
Marcy Smoke Shop Plus,(347) 435-3761,613-615 Marcy Ave
Big Apple Smoke Shop,not listed,1158 Fulton St
Smoke shop,(347) 889-7682,97 Hanson Pl
Bedford Convenience Smoke Shop,(718) 218-7980,154 Bedford Ave
Bedford Exotics | Vape & Smoke Shop,(718) 302-5005,195 Bedford Ave
Smoke N toke,not listed,1200 Fulton St
NY CITY SMOKE SHOP,(929) 397-0494,127 Graham Ave
Vaporizers & Tobacco | Smoke Shop,not listed,390 Metropolitan Ave
Dream Burner Smoke Shop,not listed,926 Broadway
Fulton tobacco convenience,not listed,1126 Fulton St
Galaxy Smoke Shop,(929) 216-5314,47
Smoke shop,not listed,9 Marcus Garvey Blvd
Exotic smoke shop,not listed,980 A Myrtle Ave
Underground exotic shop,not listed,934 Myrtle Ave
Express Tobacco 2,not listed,102 Moore St
Vapor & Smoke Shop,(718) 387-8273,325 Graham Ave
Cheese Smokers Inc,(718) 456-0531,360 Johnson Ave
PARA,not listed,289 Meserole St
Graham Vape & Cigar,(718) 963-3375,354 Graham Ave
Purely Smoker zone N smoke shop,(929) 250-2237,489 Grand St
Bushwick smoke shop,(718) 975-0325,388 Troutman St
Wilson smoke shop,not listed,149 Wilson Ave
Broadway Smoke Shop At 1007,not listed,1007 Broadway
Finest Cigar N Vape,(718) 387-3887,297 Broadway
Sunflower Glass Company Smoke Shop,(347) 406-7090,12 Wilson Ave
Z&M Smoke Shop,(347) 442-5994,616 Livonia Ave
OG smoke shop. inc,(347) 784-1847,2945 Fulton St
Wiz Khalifa Smoke Shop,(347) 741-2592,925 Livonia Ave
Green land inc smoke shop,(929) 457-9309,104 Van Siclen Ave
ZAZA Smoke Shop/Exotics,not listed,120 Cozine Ave
Vape escape smoke shop,(718) 676-0074,1727 Broadway
NYC Tobacco Leaf,(347) 992-4057,515 Sutter Ave
Bigs smoke shop,(347) 454-6114,685 Hendrix St
G & A Wholesale,not listed,2705 Atlantic Ave
Shisha,not listed,7 Pennsylvania Ave
Livonia Express smoke shop & Grocery,(718) 310-9096,618 Livonia Ave
Exotic Blast Gift Shop,not listed,595 Sutter Ave
New lots grocery smoke shop inc,(347) 374-3620,786 New Lots Ave
Shisha Kings,(347) 365-6947,656 Sutter Ave
Convenience & Smoke Shop,(347) 221-1243,473 Wilson Ave
G&A Distribution (Vape Plus),(347) 627-7267,2578 Atlantic Avenue ENTRANCE
Exotic Ave,(917) 789-9439,418 New Lots Ave
M & H Deli & Smoke Shop,not listed,228 Cleveland St
Triple 7 smoke shop corp,not listed,10419 Glenwood Rd
Xyz Smoke Shop,not listed,3221 Fulton St
Green smoke shop,(347) 320-8733,1098 Liberty Ave
J & J Smoke Shop Corp,(929) 461-2729,3373 Fulton St
Logan smoke shop,not listed,195 Logan St
Tobacco Grab and Go,(518) 692-3335,3087 Fulton St
Obama Tobacco & Grocery,(347) 405-8469,194 Logan St
Sticky zaza smoke shop,not listed,3148 Fulton St
Fulton Smoke And Convenience,(347) 425-7498,3346 Fulton St
Trap House Smoke Shop INC 420,(332) 235-2497,320 Atkins Ave
Exotic Dreams,(518) 497-4124,2552 Pitkin Ave Store #3
SK Convenience Gift Shop,not listed,1279 Sutter Ave
Belair Smoking Pipes,(929) 888-4247,NYC
Sunrise Candy & Tobacco Co,(718) 277-9476,150 Crescent St.
Bayridge Vibez smoke shop,(347) 517-4143,8509 4th Ave
Smoke Shop and Delta 8 THC(D8 THC)+CBD,(718) 439-1590,8505 4th Ave
Candy stor,(347) 662-6042,8604 5th Ave
Yogi Smoke Shop,(718) 680-6443,8604 4th Ave
Smoke Shop & craft beer,(718) 745-1060,9305 3rd Ave
Cigar Vape, CBD and Smoke shop,(718) 781-7198
Smoke Shop & Premium Cigars,(718) 759-1701,9257 4th Ave
Brooklyn Smokes CBD + Smoke Shop,(347) 820-5457,7815 3rd Ave
Bayridge Wholesale Tobacco,(718) 745-3011,9225 5th Ave
One Piece Smoke Shop,not listed,9303 3rd Ave
Exotic Snacks & Smoke Corp.,(631) 568-3547,7005 3rd Ave
86 St Tobacco Shop,not listed,8558 Fort Hamilton Pkwy
Cigar Pipes and Vapes,(718) 781-7198,7926 5th Ave
Exotic Hub,(718) 333-5204,503 81st St
smoke shop and organic and CBD,(347) 497-5495,7910 3rd Ave
Mr.Convenience SmokeShop,(347) 560-6017,507 77th St
Noise NYC,(917) 515-6663,509 85th St
Coffee,(718) 333-5069,8525 3rd Ave
9116 Smoke,not listed,9116 3rd Ave
Smoke shop,(929) 350-1113,6817 3rd Ave
The Smoke Box,(929) 320-1462,1692 Flatbush Ave
Smoke shop,(929) 966-8644,2372 Nostrand Ave.
Cloud L Mini Mart Smoke Shop,(929) 584-2667,2559 Nostrand Ave.
420 Break, Smoke Shop,not listed
Smoke Box,(718) 434-0816,2114 Nostrand Ave.
Smoke & Thingz,not listed,553 E 26th St 1st Floor
DOPEBOYS EXOTIC,(347) 240-8708,1437 Flatbush Ave
nostrand smok shap cannabis,not listed,1844 Nostrand Ave.
Smoke shop,not listed,602 Flatbush Ave
Empire Smoke Shop,not listed,738 Flatbush Ave
Broadway Smoke Shop | Vape Shop,(718) 486-8273,388 Metropolitan Ave
Smoke Shop,not listed,518 Grand St
Smoke Shop N Cigars Vapeology101,(718) 388-0222,618 Metropolitan Ave
Cool Breeze Smoke Shop,not listed,540 Driggs Ave
Brooklyn Vapor & Smoke Shop Hookah E Cigs Vaporizers,not listed,168 Havemeyer St
Tobacco Shop,(347) 799-2010,522 Metropolitan Ave
Keap vape & smoke shop,(347) 457-6438,459 Keap St
Sunflower Glass Company Smoke and Vape Shop,(718) 451-8032,377 Metropolitan Ave
Smoker's World,(718) 690-4992,167 Bedford Ave
Deli Grocery Smoke Shop,not listed,172 S 3rd St
asim deli grocery smoke shop,(347) 314-3623,356 S 1st St
smoke shop. beer. Organic. Snack..,(929) 337-6104,301 Union Ave
CraftBeer & Smoke Shop,(347) 987-3361,779 Grand St
Candy Store & Tobacco Shop,not listed,NYC
Legacy Smoke Shop,(347) 295-2585,454 Rockaway Ave
Junior 3 Smoke Shop,(929) 444-3881,414 Rockaway Ave
sutter convenience and smoke shop corp,(347) 405-5699,424 Sutter Ave
Vape ville,(347) 365-5735,745 Ralph Ave
Dubai Exotic Smoke Shop,not listed,13 Newport St
D Exotic Lab,not listed,9603 Church Ave
Gourmet Deli & Smoke Shop,(347) 530-6137,1098 Clarkson Ave
A1 Deli & Smoke,(929) 433-6486,451 Rockaway Ave
Smoke-Stock PAL,not listed,178 Newport St
E Z Smoke Shop,(347) 221-1548,849 St Johns Pl
Kingston Grocery & Smoke Shop,not listed,7 Kingston Ave
A & T Tobacco Shop,not listed,228 Albany Ave
Vape N Cloud Smoke Shop,(718) 773-7240,573 Nostrand Ave.
800 somke shop,(347) 208-7462,800 Franklin Ave
Puff at Ralph Smoke Shop,not listed,1643 St Johns Pl
JAYZEE Smoke Shop & Organic Snacks,(347) 799-9730,738 Nostrand Ave.
Lucky Star Smoke Shop Grocery,not listed,1295B Pacific St
Franklin Smoke Shop,(347) 438-8235,843 Franklin Ave
United Deli & Grill Smoke Shop,not listed,301 Utica Ave
Area 19,not listed,849 St Johns Pl
Lotto Magazine & Cigar,not listed,803 Nostrand Ave.
Joey Katabi Wireless and Smoke Shop,(929) 210-8820,361 Utica Ave
Crown Heights Deli and Tobacco Shop,not listed,216 Utica Ave
Grabbado Smoke Lounge,(718) 415-5937,633 Nostrand Ave.
Franklin V Shop,(718) 484-3184,720 Franklin Ave
86 ST Smoke shop,not listed,8520 20th Ave
smoke shop,(718) 483-9773,1642 Bath Ave
BATH VAPE & TOBACCO CORP,(718) 483-9773,1642 Bath Ave
Beer Smoke,not listed,7805 17th Ave
SMOKERS POINT TOBACCO &VAPES SMOKESHOP,(347) 492-5935,1584 86th St
BATH AVE &CONVENIENCE&TOBACCO CORP,(718) 676-0602,2018bath ave
Cropsey Finest Inc,(347) 587-6010,2847 Cropsey Ave
86 smoke shop,(347) 312-3883,8516 23rd Ave
SMOKE SHOP - Exotics Island convenience corp,(917) 342-4998,1528 Mermaid Ave
5th Ave. Smoke Shop,not listed,500 5th Ave
559 Smoke Shop Inc.,(718) 404-7897,559 4th Ave
Cigar N Vape,(718) 788-1812,452 5th Ave
Foggy vibes smoke shop,(347) 529-4242,230 4th Ave
Prospect Tobacco & Vape,(347) 384-0658,211 Prospect Park West
Park Slope Convenience & Smoke Shop,(347) 689-3157,177 4th Ave
A & M Optimo,(718) 788-7511,439 5th Ave
Noise NYC,(347) 294-4399,695 5th Ave
4th ave Tobacco Road corp,(347) 916-1336,248 4th Ave
Noise NYC,(917) 515-6663,435 5th Ave
Optimo Cigar House,(718) 965-1596,317 7th Ave
Cali Cloudz,(347) 294-4530,348 6th St
Deli and Smoke Shop,(718) 788-7511,439 5th Ave
Noise NYC,(917) 515-6663,565 4th Ave
5th Ave. Convenience,not listed,233 5th Ave
Brooklyn Smoke,(347) 240-5871,720 Washington Ave store a
Smokezila Smoke Shop,(817) 507-3854,1201 Woodhaven Blvd
Tobacco Shop Convenience Store,not listed,491 Nostrand Ave.
Smoke Shop,not listed,1485 Fulton St
Cloud 9 Smoke Shop,(347) 260-9521,1485 Fulton St
High society smoke shop,(718) 622-0269,286 Flatbush Ave
Brooklyn Vape,(917) 336-7363,53 5th Ave
Convenience Shop,not listed,20 4th Ave
2k convenience,not listed,222 Hoyt St
Flatbush Smoke Shop,(347) 414-5091,393 Flatbush Ave
District 9 Dispensary,(718) 500-6879,69 6th Ave
692 Exotics,(917) 601-6751,692 Coney Island Ave
N1 Smoke Shop,not listed,212 Parkside Ave
Gary Greenz Brooklyn NYS Licensed CBD Dispensary Vapes & Smoke Shop,(347) 789-3587,757 McDonald Ave
Coffee~snacks & SmokeShop,not listed,4004 13th Ave
High Societe,(347) 240-0213,1029 Cortelyou Rd
M Jay' Smoke Shop,not listed,1008 Flatbush Ave
Sammy's Stop and Shop Corp,(347) 789-8002,741 Coney Island Ave
Puff N Pass,(347) 497-4277,7703 13th Ave
Sammy’s Smoke Shop,not listed,6711 5th Ave
Two stops smoke shop,(718) 439-1473,5618 4th Ave
Lucky 1 convenience inc,(718) 864-5958,7803 13th Ave
Euphoric Smoke,not listed,6713 5th Ave
Jimmy Express Tobacco,(718) 745-2035,6903 Fort Hamilton Pkwy
Tony Convenience Smoke Shop,not listed,5915 4th Ave
SkyHighConvenience,not listed,5618 4th Ave STE A
New star Vape,(718) 437-4932,4524 5th Ave
Jay Exotics,not listed,4403 5th Ave
Ice Convenience Corp,(347) 763-5508,4820 A
Galaxy Wireless & Gift Shop,(718) 879-8122,4104 5th Ave #3546
532 gates smoke shop & Beer,(347) 240-8337,532 Gates Ave
Greenleaf Smoke Shop,not listed,423 Throop Ave
226 smoke shop,(718) 676-4424,226 Knickerbocker Ave
Smoke Shop Inc,(718) 456-7378,1439 Myrtle Ave
Tobacco Starlight,not listed,362 Central Ave
Speedy smoke shop convenience & gift shop,(929) 210-9927,1323 Myrtle Ave
Vape and cloud,(718) 919-1060,896 Quincy St
Knickerbocker Varieties/Smoke Shop,not listed,226 Knickerbocker Ave
Edibles N All Smoke Shop,(347) 732-7645,1255 Myrtle Ave
Puffing clouds smoke shop 207,(347) 897-6771,207 Knickerbocker Ave
Paradise Island smoke palace,(347) 240-7946,46 Ralph Ave
Sam Smoke & Gift Shop,(347) 916-0067,1013 Manhattan Ave
Loud Smoke Shop,not listed,817B Manhattan Ave
World Vape & Cigar,(917) 909-0420,651 Manhattan Ave
Exotic Smoke Shope,(347) 721-3747,745 Manhattan Ave
Greenpoint Smoker Depot,(347) 916-0277,93 Nassau Ave
J'S convenience smoke shop,(347) 856-6402,216 Driggs Ave
Nassau avenue smoke shop,not listed,151a Nassau Ave
Early Bird Smoke Shop,not listed,91 Norman Ave
GREENPOINT CONVENIENCE & Smoke Shop,(347) 689-2270,197 Franklin St
Manhattan Convenience Deli & Smoke Shop,not listed,NYC
Calipoint Exotics Smoke Shop,not listed,916 Manhattan Ave
Speedy’s Convenience Shop,not listed,202 Nassau Ave
Smoke & Snack,(347) 335-0311,99 Kingsland Ave
Norman convenience and smoke shop,(718) 383-1025,171 Norman Ave
P&P Candy and Smoke Shop,not listed,790 Manhattan Ave
X-Smoke shop,(718) 376-1901,241 Avenue X
RAZ CONVENIENCE,not listed,335 Avenue U
Dr Green,(929) 484-8484,628 Avenue U
Smoke Shop,(718) 266-6662,2811 86th St
Sky Smoke NYC,(917) 994-2337,1878 E 4th St
Smokers Cave & Convenience,(347) 827-4756,2749 Coney Island Ave
Azz smoke and cigar shop,(929) 422-9757,1701 Avenue Z
High Mood Smoke Shop,(718) 971-1987,3222A Mermaid Ave
eSmoke Shop & Cigar Palace,(718) 368-1235,1929 Avenue U
ALL THE SMOKE. SMOKE SHOP,(929) 977-8919,2328 Mermaid Ave
Coney Grocery & Smoke Shop,not listed,2803 Mermaid Ave
Smoke Shop Candy Store,not listed,Surf Ave
Ghost.Co Smoke Lounge,(718) 210-9674,2803 W 20th St
Smoke shop,not listed,1528 Mermaid Ave
Sheepshead bay Convenience,(929) 374-8317,626 Sheepshead Bay Rd
Brighton beach orginc smokeshop,(347) 729-0417,3153 Coney Island Ave
Smoke & Vape,not listed,404 Brighton Beach Ave
BRIGHTON STOP-N-GO. Hookah, hemp shop, candy 
Flatbush Exotics,(347) 240-5323,544 Flatbush Ave
T&T Tobacco & Grocery,not listed,1030 Nostrand Ave.
Prospect Deli and smokeshop,(347) 533-7300,41 Lincoln Rd
Santana Premium Cigar,(347) 240-7243,1096 Nostrand Ave.
Smoke zone & convenience,(347) 789-6142,1067 Flatbush Ave
Flatbush convenience,(347) 384-1004,714 Flatbush Ave
Jazz Ifix Wireless & Smoke Shop,(718) 916-6204,1077 Flatbush Ave
Cohiba Smoke Shop & Grill,(718) 676-0072,1137 Flatbush Ave
Stiletto Stonerz Smoke Boutique,(929) 559-8627,2273 Church Ave Box #260268
Lucky Smoke Shop,not listed,NYC
Wood Smoke Co Inc,(718) 646-2337,2081 E 19th St
Nextgen Vapeshop,(347) 702-4457,2417 Avenue U
Brooklyn Grill Gourmet Grill and Smoke Shop,not listed,1918 Kings Hwy
SAM Gourmet Deli & Smoke shop,(347) 492-4002,3670 Nostrand Ave.
Kings smoke shop,(347) 729-0227,5119 Avenue U
Black smoke 2 smoke shop corporation,(347) 804-3861,1648 E 13th St
AK'S Smokecity,(718) 787-7177,3617 Quentin Rd
Oasis hookah smoke,(347) 462-3878,1926 Avenue M
BROOKLYN SMOKE & VAPE,not listed,1067 Avenue N
Dropsmoke,(718) 252-3191,1550 Coney Island Ave
Unique News & Tobacco Inc,(718) 951-7166,1508 Avenue J
Allif News & Grocery,(718) 377-8595,1821 Avenue M
Eves Leaves Smoke shop,(646) 994-8412,528 Court St
Smith Convenience Tobacco,(929) 276-3133,321 Smith St
Convenience on sunset,(929) 633-8151,4124 4th Ave
Near U,not listed,4310 3rd Ave
Snack Smoke Shop,not listed,221 Ralph Ave #1
Smoking Fish Deli II,(718) 676-0804,564 Bainbridge St.
Cloud's Smoke Shop,not listed,414 Rockaway Ave
Brooklyn Smokes (Vape Shop + CBD),(212) 945-8033,5602 Avenue N
Smoke Shop,not listed,5019 Avenue N
E Smoke & Cigar,(718) 251-3790,6618 Avenue U
Flatland exotics smoke shop,not listed,5423 Flatlands Ave
Star Lit,not listed,4712 Avenue N
Cigarland flatbush ave,(718) 252-6580,2069 Flatbush Ave
Flatlands Convenience,(929) 265-2488,5010 Flatlands Ave
Hidden Hemp,(844) 443-6733,2196 Flatbush Ave
Life Made A Little Easier,(718) 769-2000,1702 Sheepshead Bay Rd
Knapp Cbd and Smokeshop,not listed,2801 Knapp St
Optimo Cigars,not listed,E 12th St
Puff Puff Exotics,(929) 248-0067,209 Neptune Ave
Area 51 Smoke Shop,not listed,832 E 89th St
Pop Smoke Mural,not listed,8125 Flatlands Ave
Wheres My Vape,(929) 627-6699,1365 Ralph Ave
Dreamer Tobacco Shop,(718) 483-8740,300 Wyckoff Ave
Smoke shop,not listed,44 Wyckoff Ave
Wyckoff Smoke Shop & Convenience,(929) 290-9382,301 Wyckoff Ave
International Smokers World,not listed,138 Irving Ave
Bushwick Smoke Shop & Exotics,(347) 424-2751,1530 Myrtle Ave
Irving Convenience Corp.,(917) 774-3552,249 Irving Ave
NY Cigar & Vape,(718) 552-2536,619 Washington Ave
R & B Wholesale Smoke and Vape Distribution,(347) 683-3140,1002 Atlantic Ave
Smoke Shop,(347) 223-4997,349 Waverly Ave
DR.EXOTICS,(646) 620-2803,914b Fulton St
Blew Smoke,(718) 789-7665,593 Washington Ave
Berry Convenience smokes,(347) 689-9000,100 Berry St
Zaza Exotic,(347) 753-6658,147 N 6th St
Smoke & Vape,not listed,328 Bedford Ave
The Smoke Emporium,(929) 352-0766,NYC
puff puff gas,(347) 506-4413,NYC
Paper to Flame,(646) 980-0760,NYC
Smoking Section,(817) 427-3986,7313 26 Blvd
CLOUDS of smoke Hookah Catering,(929) 338-2132,NYC
The Good Life Smoke Shop,(813) 899-2832,5025 E Fowler Ave #23-24
Wild Side Smoke Shop,(805) 644-4060,2850 Johnson Dr F
Cannabis Dispensary and Smoke Shop - The Smoke Bodega and Kava Bar,(813) 249-0420,6911 Sheldon Rd
Divine Mediation LLC,(929) 279-3419,NYC
